derivative_threshold,integration_threshold,leakage_factor,iir_window,voltage,std_dev,rmse,num_snapshots
0.01,0.05,0.95,32,0.8845375251345085,0.07275965356783944,0.05219324346549148,2
0.001,0.2,0.8,8,0.7499932473809376,0.23417673719749435,0.05461916981906234,2
0.001,0.1,0.7,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,2
0.001,0.1,0.8,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,2
0.001,0.1,0.9,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,2
0.001,0.1,0.95,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,2
0.001,0.1,0.99,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,2
0.05,0.2,0.7,4,0.8882332856865963,0.04304430741048487,0.05603060571340368,3
0.001,0.2,0.7,8,0.7556087512925003,0.2365750790952352,0.05608928830749971,2
0.001,0.5,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.001,0.5,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.001,0.5,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.001,0.5,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.005,0.5,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.005,0.5,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.005,0.5,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.005,0.5,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.005,0.5,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.01,0.5,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.01,0.5,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.01,0.5,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.01,0.5,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.01,0.5,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.05,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.1,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.2,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.2,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.2,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.2,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.2,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.5,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.5,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.5,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.5,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.02,0.5,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.01,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.01,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.01,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.01,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.01,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.05,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.05,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.05,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.05,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.05,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.1,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.1,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.1,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.1,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.1,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.2,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.2,0.8,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.2,0.9,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.2,0.95,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.2,0.99,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
0.05,0.5,0.7,32,0.8907109951335275,0.2865196209360038,0.056249994533527414,1
